"wages","education","age","sex","language","logwages"
12.97,15.1,56,"Male","English",2.56263899832835
7,14,19,"Male","English",1.94591014905531
8.89,12,18,"Female","English",2.18492704952581
21.57,9,41,"Male","Other",3.07130346040107
20.61,12.5,40,"Male","French",3.02577639490237
11.11,11,41,"Male","Other",2.40784560365154
22.13,14,55,"Male","English",3.09693415406296
13.5,17,30,"Male","English",2.60268968544438
21.56,19.1,32,"Male","English",3.0708397460408
6.75,10,16,"Male","Other",1.90954250488444
9,14,68,"Female","English",2.19722457733622
13,14.8,25,"Female","Other",2.56494935746154
5.54,18,23,"Male","English",1.71199450075919
6.48,11,17,"Male","English",1.86872051036418
40.8,16.8,39,"Male","English",3.70868208141012
13.01,10.5,39,"Female","English",2.56571829252441
19.17,17,49,"Male","English",2.95334655705755
25.75,12.5,31,"Male","English",3.24843462710975
30,20,39,"Male","English",3.40119738166216
9.25,10,40,"Female","English",2.22462355152433
5.76,10,17,"Male","English",1.7509374747078
3.75,11,17,"Male","English",1.32175583998232
40.96,10.5,54,"Male","English",3.71259598073125
21.39,18,41,"Female","English",3.06292352309431
3.12,17.5,24,"Male","Other",1.13783300182139
14.96,16.1,28,"Female","English",2.70537997254633
12.55,13,37,"Male","Other",2.52972066557779
6.75,15.5,21,"Female","English",1.90954250488444
10.56,11.8,21,"Male","English",2.35707327827812
10.75,12.1,18,"Male","English",2.37490575457367
5.17,17.3,34,"Female","English",1.64287268852034
19.15,13,50,"Male","English",2.95230271562665
35.66,20,48,"Male","Other",3.57402961243499
9.85,13.9,20,"Male","English",2.287471455184
27.8,12,34,"Female","English",3.32503602069659
13.12,12,31,"Male","English",2.57413778351594
41.38,11.1,44,"Male","Other",3.7227976723174
31.5,15,42,"Male","English",3.44998754583159
15,17,58,"Female","English",2.70805020110221
14.85,13,38,"Male","French",2.69799986524871
19.2,14,28,"Male","French",2.95491027903374
7.31,11,63,"Female","English",1.98924327376169
13.88,12,33,"Female","Other",2.63044895507866
16,11,57,"Female","English",2.77258872223978
7.52,11.6,19,"Male","English",2.01756613796175
12.84,12.5,26,"Female","English",2.55256529826182
6.42,12.5,43,"Female","English",1.85941811770187
17.58,12,31,"Male","English",2.86676189225703
15.07,5,65,"Male","Other",2.7127060126384
28.66,17,50,"Male","English",3.35550242240003
6.06,12.5,20,"Female","English",1.80170980008122
17.68,12,34,"Male","English",2.8724340572095
28.78,16.3,40,"Male","English",3.35968070145922
9.22,13,31,"Female","English",2.2213750375685
7.6,11,27,"Male","English",2.02814824729229
13.29,8,53,"Male","English",2.58701187272515
7.2,14.6,19,"Male","English",1.97408102602201
14.03,8,39,"Male","Other",2.64119789411437
23.04,14,40,"Male","English",3.13723183582769
12.3,20,40,"Male","English",2.50959926237837
21.5,13.6,24,"Male","English",3.06805293513362
9.4,11,19,"Female","English",2.24070968927596
11.5,8,59,"Male","English",2.4423470353692
5.92,14.5,22,"Female","English",1.77833644889591
27.79,13.5,57,"Female","English",3.32467624375441
17.6,16.9,39,"Female","English",2.86789890204411
12,6,65,"Male","French",2.484906649788
22.19,16,32,"Male","English",3.0996417369445
9,14,20,"Male","English",2.19722457733622
12.83,17.4,45,"Female","English",2.55178617862755
5.9,10,16,"Male","English",1.77495235091167
15.79,17.5,26,"Male","English",2.75937682826755
7.15,11,17,"Male","English",1.96711235670592
21.15,12,41,"Male","English",3.05163990549229
17.14,12.5,30,"Female","French",2.84141491316963
19.68,11.5,34,"Male","English",2.97960289162411
10,16,31,"Male","English",2.30258509299405
7.66,16,20,"Female","English",2.0360119837525
7,8,35,"Female","English",1.94591014905531
14.23,9,55,"Male","French",2.65535241210176
6.5,16.3,20,"Female","English",1.87180217690159
10.25,11.5,36,"Female","English",2.32727770558442
10.5,14,25,"Male","French",2.35137525716348
8.92,19.1,25,"Male","English",2.18829594659192
26.88,13,37,"Male","English",3.29138251565495
19.07,13,44,"Male","English",2.94811641961233
12,14.1,36,"Female","English",2.484906649788
8.5,14,24,"Female","English",2.14006616349627
19.67,12,36,"Female","Other",2.97909463240097
23.04,20,38,"Male","English",3.13723183582769
15.92,20,34,"Female","English",2.76757618041624
8.83,10,64,"Female","English",2.17815501461587
16.46,18,25,"Female","English",2.80093319524892
18.24,10,56,"Male","English",2.90361698464619
12,14,37,"Female","English",2.484906649788
28.8,10.1,58,"Male","English",3.3603753871419
34.78,18.5,46,"Male","English",3.54904250892614
12.8,12.5,27,"Female","English",2.54944517092557
7.5,18.8,43,"Female","English",2.01490302054226
18.19,10,57,"Female","English",2.90087199253003
21.55,12,34,"Male","English",3.07037581654976
7,16,52,"Female","French",1.94591014905531
11.3,12,43,"Female","English",2.42480272571829
9.58,18,38,"Male","English",2.25967759198277
15.43,17.8,38,"Female","English",2.73631366637507
12.58,0,38,"Female","English",2.53210825127229
16.22,15,46,"Female","English",2.78624504868727
13.65,14.5,29,"Female","English",2.61373952163097
16.8,17,30,"Female","English",2.82137888640921
8.5,13,31,"Female","English",2.14006616349627
20.29,20,39,"Female","English",3.01012815383772
27.9,15,53,"Male","English",3.32862668882732
7,12,30,"Male","English",1.94591014905531
7.25,14.5,25,"Female","English",1.98100146886658
14.75,16,49,"Female","English",2.69124308278583
17.45,17,40,"Female","English",2.85933964864844
16,16.5,46,"Female","English",2.77258872223978
15.1,15.5,23,"Female","English",2.71469474382088
9,10,27,"Male","English",2.19722457733622
11.6,12.3,28,"Female","English",2.45100509811232
16.48,12,33,"Male","English",2.80214752448133
26.88,17,52,"Male","English",3.29138251565495
9.65,14,40,"Female","English",2.26695791535089
23.35,20,44,"Male","English",3.15059698411491
10.59,12.5,29,"Female","English",2.35991015961332
7.79,12,20,"Female","English",2.05284085988266
15.05,19,44,"Male","Other",2.71137799119488
6.5,13,19,"Female","English",1.87180217690159
4.8,10,34,"Male","Other",1.56861591791385
21.33,20,36,"Female","English",3.06011453248326
22.99,12.5,51,"Female","English",3.13505933877509
16.28,16,24,"Male","English",2.78993736057439
7,12,18,"Male","English",1.94591014905531
32.59,16,50,"Female","English",3.48400549284947
9.25,9,25,"Male","Other",2.22462355152433
7,13,19,"Male","English",1.94591014905531
21.12,17,43,"Female","English",3.05022045883806
18,13,44,"Male","French",2.89037175789616
19.94,12,31,"Female","Other",2.99272776453369
21.43,12,62,"Female","English",3.06479180948549
5.8,14,33,"Male","English",1.75785791755237
17.67,13,42,"Female","English",2.87186828633161
16,13,43,"Female","English",2.77258872223978
19.58,13,38,"Male","English",2.97450863710236
15.65,14,49,"Male","English",2.75047091698616
15.42,14,23,"Male","English",2.73566536813518
7,13,47,"Female","English",1.94591014905531
11.27,9.5,34,"Female","English",2.42214432805168
15,11,35,"Male","English",2.70805020110221
27.5,10,49,"Female","English",3.31418600467253
7,8,50,"Female","English",1.94591014905531
29.53,17,44,"Female","English",3.38540669575583
11.97,5.5,29,"Male","Other",2.48240351956988
9,9,30,"Male","Other",2.19722457733622
25.6,13,60,"Male","English",3.24259235148552
15.6,13,37,"Male","English",2.74727091425549
11,4,54,"Male","Other",2.39789527279837
11.25,12,35,"Male","English",2.42036812865043
32.91,18,43,"Female","English",3.49377656295525
14.2,14,37,"Male","English",2.65324196460721
6.85,13,20,"Male","English",1.92424865227413
28.8,20,44,"Male","English",3.3603753871419
6.7,12,30,"Male","English",1.90210752639692
6.62,10,17,"Female","English",1.89009536994892
28.54,15,32,"Female","English",3.35130661204869
22.27,19,50,"Male","English",3.10324048126928
30.72,20,40,"Male","French",3.42491390827947
26.39,18,33,"Female","English",3.27298515051523
33.28,16.5,39,"Male","English",3.50495661595301
6.36,14.5,23,"Male","English",1.85002837735203
12.86,13,30,"Female","English",2.55412171880947
18.29,14.5,36,"Male","English",2.90635446240277
13.6,16,28,"Female","English",2.61006979274201
18.25,17,28,"Female","English",2.9041650800285
16.62,9,32,"Female","French",2.8106067894273
6.35,10.1,17,"Female","English",1.8484548129046
21.81,13,37,"Male","Other",3.08236858021354
7.19,13,18,"Female","English",1.97269117173296
25.6,18,42,"Female","English",3.24259235148552
19,11,41,"Female","English",2.94443897916644
13.07,16,44,"Male","English",2.57031952763613
7,12,48,"Female","English",1.94591014905531
40.96,17,43,"Female","English",3.71259598073125
34.67,17,35,"Female","English",3.54587475969693
11.25,10.5,56,"Female","Other",2.42036812865043
24,14.5,54,"Male","English",3.17805383034795
7,14,45,"Female","English",1.94591014905531
9.1,12.3,19,"Male","English",2.2082744135228
23.04,13.5,50,"Female","English",3.13723183582769
20.1,17.1,32,"Female","English",3.00071981506503
13.91,18,31,"Female","English",2.63260800593535
18.72,18,42,"Male","English",2.92959247104945
24.38,20,30,"Male","English",3.19376312405313
6.83,13,27,"Female","English",1.9213246735827
20.91,16.2,26,"Male","English",3.04022751344054
14.85,12,30,"Female","English",2.69799986524871
14.29,12.5,52,"Female","English",2.65955999194178
8,16.1,20,"Female","English",2.07944154167984
14,18,37,"Male","English",2.63905732961526
8,13,23,"Male","English",2.07944154167984
12,12,53,"Female","English",2.484906649788
17.43,17,34,"Male","English",2.85819285953193
9.89,11,66,"Female","English",2.29152414563462
9.56,17,24,"Female","English",2.25758772706331
12.13,12,51,"Female","English",2.49568172295596
15,12,32,"Male","Other",2.70805020110221
4.82,15,23,"Male","English",1.57277392806251
17.9,13,45,"Male","English",2.88480071284671
12.55,12.5,35,"Female","Other",2.52972066557779
27.73,17,52,"Female","English",3.32251485962769
10,14,26,"Female","English",2.30258509299405
9.83,14,37,"Female","English",2.28543893415908
22.23,16,41,"Female","Other",3.10144272797611
19.2,18.1,43,"Male","English",2.95491027903374
7.25,12,41,"Male","English",1.98100146886658
12,13.5,41,"Female","English",2.484906649788
32.16,18,62,"Female","English",3.47072344431077
5,11,16,"Male","English",1.6094379124341
24.32,16,21,"Male","English",3.19129905709797
9.76,14,29,"Female","French",2.278292400425
21.6,11,48,"Male","English",3.07269331469012
16.5,12,31,"Female","English",2.80336038090653
15,17,28,"Male","English",2.70805020110221
19.2,18.5,27,"Male","English",2.95491027903374
15.84,16.3,34,"Male","English",2.76253838638628
11.2,8.5,48,"Male","French",2.41591377830105
9,15.5,23,"Male","English",2.19722457733622
9.6,10,54,"Female","Other",2.26176309847379
14,17,38,"Female","English",2.63905732961526
20,13,33,"Male","English",2.99573227355399
8,17,57,"Female","English",2.07944154167984
7.49,12,36,"Female","English",2.01356879752913
8.18,13.3,19,"Female","Other",2.10169215061466
18.77,13,32,"Male","English",2.93225985059842
20.76,18,44,"Female","Other",3.03302805829769
26.38,8,60,"Male","Other",3.27260614728917
10,16,38,"Female","English",2.30258509299405
7.1,9,38,"Female","Other",1.96009478404727
33.6,13,44,"Male","English",3.51452606696916
30.24,17,52,"Male","English",3.40916555131133
13,18,29,"Female","Other",2.56494935746154
18.74,17,41,"Female","English",2.93066027681028
3.15,11.5,26,"Female","English",1.14740245283754
11.26,12,55,"Female","English",2.42125662271154
7.25,12,20,"Female","English",1.98100146886658
12.5,11,35,"Female","English",2.52572864430826
8.8,12.3,35,"Female","French",2.17475172148416
14.4,17,62,"Female","English",2.66722820658195
24.33,15.3,37,"Male","English",3.19171015679543
9,17,44,"Male","English",2.19722457733622
21.6,13.1,49,"Female","English",3.07269331469012
12.79,12,47,"Female","French",2.54866361559075
15.36,11,64,"Male","English",2.73176672771953
14.49,16,53,"Female","Other",2.67345875633259
14.05,15,33,"Male","English",2.64262239577975
16.42,7.6,39,"Male","French",2.79850010402428
8.97,13.1,22,"Female","Other",2.1938856760707
8,11.2,60,"Female","English",2.07944154167984
13.5,16.1,36,"Female","English",2.60268968544438
12,20,29,"Male","English",2.484906649788
10.25,12.2,23,"Female","English",2.32727770558442
27.43,16,55,"Male","English",3.31163730494951
11.32,17.5,34,"Male","English",2.42657107277504
15.77,12.5,33,"Male","English",2.75810940097495
10.87,14,35,"Male","English",2.38600670113312
11.29,10,38,"Female","English",2.42391737816157
28.8,12,55,"Male","English",3.3603753871419
7.41,13,20,"Male","English",2.002830439308
15,13,32,"Male","English",2.70805020110221
10.05,12,23,"Female","French",2.30757263450508
7.08,16,27,"Male","English",1.95727390770563
18.28,16.1,37,"Male","English",2.905807566026
11.5,13.5,27,"Male","English",2.4423470353692
16,15,46,"Female","English",2.77258872223978
15,15.5,25,"Female","English",2.70805020110221
12,13,47,"Female","English",2.484906649788
8.13,10,51,"Female","English",2.09556092355972
19,8,53,"Male","English",2.94443897916644
7,18.5,26,"Female","English",1.94591014905531
8.61,12,55,"Female","English",2.15292431843964
23.46,18,49,"Female","English",3.15529684322533
5.93,10.5,28,"Female","French",1.78002421300963
19.75,17.4,43,"Male","English",2.98315349134713
7.2,17,23,"Female","English",1.97408102602201
13.44,10.6,38,"Female","English",2.598235335095
15.5,12,50,"Female","English",2.7408400239252
7.12,12,35,"Female","English",1.96290772542388
9.14,17,41,"Female","English",2.21266038546606
17.88,16,38,"Female","Other",2.88368276974537
18.75,15,27,"Male","English",2.93119375241642
20.5,17,39,"Female","English",3.02042488614436
31.8,17.3,41,"Male","English",3.45946628978613
6.75,12.6,19,"Female","English",1.90954250488444
9.05,11.1,33,"Female","English",2.20276475771183
7,11,17,"Female","English",1.94591014905531
11.5,9,37,"Female","English",2.4423470353692
11,10,34,"Female","French",2.39789527279837
10.81,0,49,"Male","Other",2.38047163165112
25.08,14,38,"Male","English",3.22207071576472
6.7,11,19,"Male","English",1.90210752639692
10.2,12,61,"Female","English",2.32238772029023
24,15,51,"Male","Other",3.17805383034795
16.3,12.1,26,"Male","English",2.79116510781272
18.39,12,51,"Male","English",2.91180703861623
3.62,13,57,"Male","French",1.28647402583768
24,11,58,"Male","English",3.17805383034795
16,12.5,44,"Female","English",2.77258872223978
14.5,12.6,36,"Female","English",2.67414864942653
22.81,8,45,"Male","Other",3.1271990362963
19.18,12,32,"Male","English",2.95386806945529
8,11,39,"Female","English",2.07944154167984
13.68,12,37,"Male","English",2.6159349121944
9.42,12.5,49,"Female","Other",2.24283508858827
28.8,16,38,"Female","English",3.3603753871419
28.8,14,54,"Female","English",3.3603753871419
21.23,15,37,"Male","English",3.05541527571516
24.46,13,32,"Female","English",3.19703913025903
16,12.5,41,"Male","English",2.77258872223978
17.07,14,32,"Female","English",2.83732253680635
38,17,46,"Male","English",3.63758615972639
20.1,14,42,"Male","French",3.00071981506503
18.19,12,50,"Female","French",2.90087199253003
8,13,37,"Female","English",2.07944154167984
27.84,17.3,41,"Female","English",3.32647383546622
17.59,9,61,"Male","English",2.86733055874947
7,14.1,19,"Male","English",1.94591014905531
15.36,11,45,"Male","English",2.73176672771953
14,8,64,"Male","English",2.63905732961526
15,13,34,"Male","English",2.70805020110221
13.59,14.1,29,"Female","English",2.60933422816305
9.6,10,17,"Female","English",2.26176309847379
17,11.5,34,"Male","English",2.83321334405622
9.5,3,62,"Female","Other",2.2512917986065
17.5,12,43,"Female","French",2.86220088092947
17.81,13,34,"Male","French",2.87976009730157
7.16,13.8,21,"Male","English",1.96850998097255
5.75,12,17,"Female","English",1.74919985480926
15,13,64,"Female","English",2.70805020110221
9.65,12.5,53,"Female","English",2.26695791535089
18.04,15,30,"Male","English",2.89259151463448
27.75,16,36,"Male","English",3.32323584019244
15.36,12,41,"Female","English",2.73176672771953
19.91,13,47,"Female","English",2.9912221180761
12,7,38,"Male","Other",2.484906649788
3.59,13.6,21,"Female","English",1.27815220250019
7.2,11,18,"Male","English",1.97408102602201
13,15,22,"Male","English",2.56494935746154
7,9.5,27,"Female","Other",1.94591014905531
12.56,15,24,"Male","English",2.53051716104005
6.44,7,54,"Female","French",1.86252854011626
10,16.5,38,"Male","English",2.30258509299405
13.49,10.5,37,"Female","English",2.60194867021966
5.85,13,19,"Male","English",1.76644166124377
22.7,12.7,43,"Male","English",3.12236492448736
13.07,19,42,"Male","English",2.57031952763613
6.7,6,57,"Female","French",1.90210752639692
7,13,19,"Female","English",1.94591014905531
20.48,11,38,"Female","French",3.01944880017131
25.6,18,32,"Female","English",3.24259235148552
7.75,13,54,"Female","English",2.04769284336526
9.18,12.6,20,"Male","English",2.2170272046324
7.92,13,20,"Female","English",2.06939120582633
43.2,16.5,37,"Male","English",3.76584049525006
18.74,16,29,"Female","English",2.93066027681028
22.98,15,36,"Female","Other",3.13462427242061
14.04,9,61,"Female","English",2.64191039859766
14.88,13,40,"Female","English",2.70001802940495
7.6,9,57,"Female","English",2.02814824729229
7.68,15,24,"Female","English",2.03861954715958
6.9,16,24,"Female","French",1.93152141160321
8.75,11,34,"Female","English",2.16905370036952
10.96,12.5,32,"Female","English",2.39425228151987
13.73,19,41,"Female","English",2.61958321977988
27,15,48,"Female","English",3.29583686600433
12.21,12,54,"Female","French",2.50225528812261
30.1,13,47,"Male","English",3.40452517175483
18.24,11.5,51,"Male","French",2.90361698464619
10,12,34,"Female","Other",2.30258509299405
18.54,12,38,"Male","French",2.91993056013771
25,11,60,"Male","English",3.2188758248682
14.34,12,23,"Female","English",2.66305283517147
6.73,10,16,"Female","English",1.90657514365664
7.85,9,57,"Female","English",2.06051353179432
6.94,14,19,"Male","English",1.93730177451871
14.07,12.7,56,"Female","English",2.6440448711263
12,12,36,"Male","English",2.484906649788
8,14,43,"Female","English",2.07944154167984
28.36,15,39,"Male","English",3.34497970166393
9.49,9,55,"Female","English",2.25023861262184
15.04,13,56,"Female","English",2.71071331852169
16.9,12.6,42,"Female","English",2.82731362192903
27.34,14.8,37,"Female","English",3.3083508312958
8.05,12,29,"Female","English",2.08567209143047
10,15,29,"Male","English",2.30258509299405
19.2,16,30,"Female","Other",2.95491027903374
5.6,12,29,"Female","English",1.7227665977411
11.36,12,51,"Male","English",2.43009841329301
18.94,16,32,"Female","English",2.94127608775793
9.43,11,21,"Male","English",2.24389609664537
18.21,12,45,"Female","English",2.90197089373952
20.84,13.8,39,"Female","Other",3.03687421688517
24,17,31,"Male","English",3.17805383034795
27.84,18,53,"Male","English",3.32647383546622
34.56,12,46,"Male","English",3.54269694393586
15.87,10.5,45,"Female","Other",2.76443053453832
31.9,8,58,"Male","Other",3.4626060097908
6.7,11,18,"Female","English",1.90210752639692
12,8,29,"Male","English",2.484906649788
7,13.8,20,"Female","English",1.94591014905531
7.89,12,61,"Female","English",2.06559613485778
9.82,12,18,"Male","English",2.28442112236637
6.7,20,43,"Male","English",1.90210752639692
7,12,25,"Male","English",1.94591014905531
18,15,26,"Male","English",2.89037175789616
26.18,17,38,"Female","Other",3.26499576048175
33.6,13,60,"Male","English",3.51452606696916
20,12,36,"Male","English",2.99573227355399
6.85,12.6,20,"Female","English",1.92424865227413
15.85,11,33,"Male","French",2.76316950032329
7.48,12.7,38,"Female","French",2.01223279198639
28.14,16,56,"Female","English",3.33719205168624
7.67,5,62,"Female","Other",2.03731661537916
13.88,10,57,"Male","Other",2.63044895507866
17.44,5,58,"Male","Other",2.85876641848083
14.05,10.5,58,"Male","English",2.64262239577975
13.54,12,56,"Female","English",2.60564826748413
19.86,12.5,63,"Male","French",2.98870765861703
18.72,16.5,26,"Male","English",2.92959247104945
21.6,16,29,"Male","English",3.07269331469012
18.35,12.5,27,"Male","English",2.90962957450058
8.26,10.5,32,"Female","English",2.11142458753289
20.85,12,40,"Female","English",3.03735394824481
12,12,30,"Male","English",2.484906649788
14.36,10,53,"Female","English",2.66444656362008
12.96,18,35,"Male","English",2.56186769092413
17,14,40,"Male","English",2.83321334405622
6.46,10.6,17,"Female","English",1.86562931779451
9.34,12,18,"Male","English",2.23430625224075
15.51,12.8,37,"Male","English",2.74148497718845
25,17.5,34,"Female","English",3.2188758248682
19,12,35,"Male","English",2.94443897916644
8.5,12,42,"Female","English",2.14006616349627
8,13,46,"Female","English",2.07944154167984
20.45,17,58,"Male","English",3.01798288248881
18.87,14,46,"Female","Other",2.93757335938046
10,12,26,"Male","English",2.30258509299405
12.29,13.7,31,"Female","English",2.50878592357794
14.28,13,48,"Female","English",2.65885995691144
9,12.5,42,"Female","English",2.19722457733622
19.33,10,45,"Male","English",2.96165829322024
10.56,13.4,42,"Female","English",2.35707327827812
23.09,12.5,48,"Female","English",3.1393996233664
21.44,13,49,"Male","English",3.0652583362026
7,18,22,"Male","English",1.94591014905531
16.5,12,51,"Male","Other",2.80336038090653
18.9,19.5,24,"Male","English",2.9391619220656
15.75,10,35,"Male","English",2.75684036527164
13.21,16,28,"Male","English",2.58097411853423
17.1,15,27,"Female","English",2.83907846350861
16.08,14,44,"Male","English",2.77757626375082
15.65,10,41,"Male","English",2.75047091698616
13.13,19,32,"Male","French",2.57489968831471
15.52,13.6,28,"Male","French",2.74212951475507
23.04,16,29,"Male","English",3.13723183582769
8,12,61,"Male","French",2.07944154167984
10.85,10,44,"Female","English",2.38416507998647
12.31,16,22,"Female","English",2.51041194019636
12.81,10,41,"Male","English",2.55022611590864
21,18,24,"Female","English",3.04452243772342
16.12,12,33,"Male","English",2.78006073707848
21.6,12.7,33,"Male","English",3.07269331469012
12.35,15.4,32,"Female","French",2.51365606307399
16.32,15,38,"Female","English",2.79239134953596
19.2,11.5,53,"Female","English",2.95491027903374
13.23,10,58,"Male","English",2.58248697812686
21.43,15,32,"Male","English",3.06479180948549
16.25,9,34,"Male","English",2.78809290877575
23.63,13,31,"Female","English",3.16251709119882
8,16,29,"Female","English",2.07944154167984
7.49,11.6,19,"Female","English",2.01356879752913
6,15.5,20,"Female","English",1.79175946922805
21,11,39,"Female","English",3.04452243772342
12.03,13.8,37,"Female","English",2.48740352998659
10,13.4,37,"Female","English",2.30258509299405
19.68,12.5,38,"Male","English",2.97960289162411
10,11.3,45,"Male","English",2.30258509299405
24.74,19,32,"Female","English",3.20842136696434
13.75,17,28,"Female","English",2.62103882411258
8.97,11,23,"Male","English",2.1938856760707
14.5,14.3,46,"Female","English",2.67414864942653
9.48,8,62,"Male","English",2.24918431626693
9.2,13,40,"Female","English",2.21920348405499
14.52,15,30,"Female","English",2.67552700939665
16.68,12.5,47,"Male","English",2.8142103969306
10.07,13.2,20,"Female","Other",2.30956070673047
7.97,10,26,"Female","English",2.07568449280212
22.8,12,39,"Male","English",3.1267605359604
17.77,15,47,"Female","English",2.87751164216656
15.36,16.2,39,"Male","English",2.73176672771953
24.92,12.5,39,"Male","English",3.21567069391925
10,17.5,24,"Male","English",2.30258509299405
6.6,10,18,"Male","English",1.88706964903238
7.73,9.8,17,"Female","English",2.04510886259933
14.8,9,32,"Male","English",2.69462718077007
9.33,14.5,41,"Female","Other",2.23323501485925
10.35,17,51,"Female","English",2.33698651971138
11.43,12.5,21,"Female","English",2.43624147780672
30,16,48,"Female","English",3.40119738166216
15,15.8,30,"Male","English",2.70805020110221
10.46,14.5,24,"Female","Other",2.34755845863678
22.04,17,26,"Female","English",3.09285898428471
11,15,25,"Female","English",2.39789527279837
24,15,47,"Male","English",3.17805383034795
17,15,32,"Female","English",2.83321334405622
19,12.8,36,"Male","English",2.94443897916644
15,12.5,38,"Male","English",2.70805020110221
24,16,39,"Female","English",3.17805383034795
12.65,12,39,"Female","English",2.53765721517353
10.56,15,32,"Male","English",2.35707327827812
13,11,22,"Male","English",2.56494935746154
6,14,21,"Male","English",1.79175946922805
7.88,14.3,26,"Female","Other",2.06432790386979
12.94,17,33,"Male","English",2.56032328907275
15.78,16,47,"Male","English",2.75874331541773
24,6,54,"Male","English",3.17805383034795
24.69,18.5,31,"Female","English",3.20639830335709
18.96,15.8,53,"Male","English",2.94233149682688
12.13,11,31,"Male","English",2.49568172295596
14.62,13,28,"Male","English",2.68239045432163
13,16,29,"Male","English",2.56494935746154
13.5,11,25,"Male","English",2.60268968544438
13.62,14.5,54,"Male","English",2.61153930072137
9.4,10,51,"Female","English",2.24070968927596
14.77,17,34,"Female","English",2.69259809654329
7.5,12,24,"Female","English",2.01490302054226
11.5,13,31,"Female","Other",2.4423470353692
10,14.5,46,"Female","English",2.30258509299405
28.8,12,42,"Male","English",3.3603753871419
19.38,11.5,28,"Male","English",2.96424160646262
